date,commodity,open,high,low,close,volume,daily_return,return_5d,return_21d,volatility_5d_ann,volatility_21d_ann,volatility_63d_ann,sma_21,sma_63,bollinger_upper,bollinger_lower,bollinger_z,rsi_14,macd,macd_signal,momentum_10d,momentum_21d,term_spread
2014-01-02,Steel_HRC,598.5489,602.7788,595.2943,598.4254,1109,,,,,,,,,,,,,0.0,0.0,,,1.670683
2014-01-03,Steel_HRC,573.808,578.2438,572.2654,574.4014,796,-0.040973,,,,,,,,,,,,-0.539,-0.299444,,,-6.634311
2014-01-06,Steel_HRC,575.2184,579.4599,573.8479,576.0968,2226,0.002947,,,,,,,,,,,,-0.634219,-0.436647,,,-2.787013
2014-01-07,Steel_HRC,577.8701,583.5032,572.4176,579.164,3756,0.00531,,,,,,,,,,,,-0.551243,-0.475467,,,2.747106
2014-01-08,Steel_HRC,576.7604,577.607,571.7317,575.7011,322,-0.005997,,,,,,,,,,,,-0.632347,-0.522135,,,3.686201
2014-01-09,Steel_HRC,579.785,582.8995,578.3994,581.0167,1973,0.009191,-0.029522,,0.323566,,,,,,,,,-0.441917,-0.500391,,,-4.779131
2014-01-10,Steel_HRC,587.8054,590.3627,581.8136,586.7747,3051,0.009861,0.021312,,0.101561,,,,,,,,,-0.051334,-0.386747,,,2.465907
2014-01-13,Steel_HRC,588.9748,594.0272,585.6916,590.5704,742,0.006448,0.024813,,0.101745,,,,,,,,,0.391913,-0.19962,,,0.913042
2014-01-14,Steel_HRC,599.5876,606.0071,595.5074,600.1359,1697,0.016067,0.03557,,0.129055,,,,,,,,,1.167469,0.116184,,,-1.301628
2014-01-15,Steel_HRC,599.2933,601.8424,593.6883,598.4707,3892,-0.002779,0.038789,,0.108905,,,,,,,,,1.614868,0.451976,,,-6.234462
2014-01-16,Steel_HRC,606.4262,609.4234,605.3305,607.4552,1295,0.014901,0.044499,,0.120559,,,,,,,,,2.394174,0.876918,0.015089,,-11.721072
2014-01-17,Steel_HRC,629.9089,632.431,627.0676,628.1625,1725,0.03352,0.068158,,0.213571,,,,,,,,,4.070421,1.562749,0.093595,,10.442015
2014-01-20,Steel_HRC,638.5224,643.3022,634.9857,638.1179,2475,0.015724,0.077434,,0.203846,,,,,,,,,5.821938,2.464141,0.107657,,-4.783014
2014-01-21,Steel_HRC,659.6372,665.728,655.1026,659.4676,2782,0.03291,0.094277,,0.238918,,,,,,,,,8.294704,3.683899,0.138654,,-5.981296
2014-01-22,Steel_HRC,662.3903,669.6956,658.1003,663.1532,10890,0.005573,0.102628,,0.194503,,,,,,,,76.30527,10.272418,5.049656,0.151905,,-3.390613
2014-01-23,Steel_HRC,646.181,648.4963,638.2358,644.4547,1683,-0.028602,0.059126,,0.405022,,,,,,,,79.757617,10.509924,6.173338,0.109184,,-10.676356
2014-01-24,Steel_HRC,646.6988,651.7748,640.3051,647.2002,3825,0.004251,0.029857,,0.356664,,,,,,,,79.93661,10.730532,7.105774,0.102979,,1.894022
2014-01-27,Steel_HRC,649.8729,654.7425,643.7895,648.3682,3298,0.001803,0.015936,,0.346222,,,,,,,,79.610534,10.841394,7.866604,0.097868,,-3.797355
2014-01-28,Steel_HRC,647.5643,651.1797,641.3196,647.6496,2291,-0.001109,-0.018083,,0.225376,,,,,,,,81.525083,10.748629,8.451437,0.079172,,-5.709232
2014-01-29,Steel_HRC,627.7984,633.3167,625.0188,629.3179,1185,-0.028713,-0.052369,,0.26522,,,,,,,,68.996894,9.352484,8.633748,0.051543,,-14.3713
